section,group,name,url,description,tags,stars,last_push,line
Courses,,CS246,https://web.stanford.edu/class/cs246/,Mining Massive Data Sets Stanford University.,,,,728
Courses,,Lecture Videos,http://www.mmds.org/#mooc,,,,,730
Courses,,Assignments,https://web.stanford.edu/class/cs246/handouts.html,,,,,731
Courses,,Readings,http://www.mmds.org/#book,,,,,733
Courses,,CS276,https://web.stanford.edu/class/cs276/index.html,Information Retrieval and Web Search Stanford University.,,,,734
Courses,,Lecture notes,https://web.stanford.edu/class/cs276/index.html#syllabus,,,,,736
Courses,,Readings,https://web.stanford.edu/class/cs276/index.html#books,,,,,737
Courses,,Practical_RL,https://github.com/yandexdataschool/Practical_RL,Reinforcement Learning in the Wild Yandex SDA.,,6581,2026-03-31,738
Courses,,Syllabus,https://github.com/yandexdataschool/Practical_RL#syllabus,"★ 6,581 stars, last push 2026-03-31.",,,,740
Courses,,UvA DEEP LEARNING,https://uvadlc.github.io/,University of Amsterdam.,,,,741
Courses,,Lecture Videos & Notes,https://uvadlc.github.io/#lecture,,,,,743
Courses,,Practicals,https://uvadlc.github.io/#practicals,,,,,744
Courses,,Readings,https://uvadlc.github.io/#other-links,,,,,745
Courses,,CIS 4930 / CIS 5930,http://www.cs.fsu.edu/~redwood/OffensiveComputerSecurity/,Offensive Computer Security Florida State University.,,,,750
Courses,,W. Owen Redwood,https://ww2.cs.fsu.edu/~redwood/,"Course taught by  and Xiuwen Liu. It covers a wide range of computer security topics, starting from Secure C Coding and Reverse Engineering to Penetration Testing, Exploitation and Web Application Hacking, both from the defensive and the offensive point of view.",,,,751
Courses,,Lectures and Videos,http://www.cs.fsu.edu/~redwood/OffensiveComputerSecurity/lectures.html,,,,,752
Courses,,Assignments,http://www.cs.fsu.edu/~redwood/OffensiveComputerSecurity/assignments.html,,,,,753
Courses,,CS 155,https://crypto.stanford.edu/cs155/,Computer and Network Security Stanford.,,,,754
Courses,,CS 161,http://www-inst.eecs.berkeley.edu/~cs161/sp15/,Computer Security UC Berkeley.,,,,756
Courses,,CS 259,https://courseware.stanford.edu/pg/courses/331628/cs259-winter-2013,Security Modeling and Analysis Stanford.,,,,758
Courses,,CS 261,https://www.icir.org/vern/cs261n-Sp14/,Internet/Network Security UC Berkeley.,,,,760
Courses,,CS 5430,https://www.cs.cornell.edu/courses/CS5430/2013sp/,System Security Cornell University.,,,,762
Courses,,Syllabus,https://www.cs.cornell.edu/courses/CS5430/2013sp/01.intro.html,,,,,764
Courses,,Lectures,https://www.cs.cornell.edu/courses/CS5430/2013sp/02.outline.html,,,,,765
Courses,,CSCI 4968,https://github.com/RPISEC/MBE,Modern Binary Exploitation Rensselaer Polytechnic Institute.,,6052,2021-12-09,767
Courses,,RPISEC,https://rpis.ec,"This repository contains the materials as developed and used by  to.teach Modern Binary Exploitation at Rensselaer Polytechnic Institute in.Spring 2015. This was a university course developed and run solely by students to teachskills in vulnerability research, reverse engineering, and binary exploitation.",,,,768
Courses,,Lectures Notes,http://security.cs.rpi.edu/courses/binexp-spring2015/lectures/,,,,,772
Courses,,Labs,https://github.com/RPISEC/MBE/tree/master/src,"★ 6,052 stars, last push 2021-12-09.",,,,773
Courses,,CSCI 4976,https://github.com/RPISEC/Malware,Malware Analysis Rensselaer Polytechnic Institute.,,4070,2022-08-26,775
Courses,,Practical Malware Analysis,https://www.amazon.com/Practical-Malware-Analysis-Dissecting-Malicious/dp/1593272901,"This repository contains the materials as developed and used by RPISEC toteach Malware Analysis at Rensselaer Polytechnic Institute inFall 2015. This was a university course developed and run solely by students, primarily using the.book by Michael Sikorski and Andrew Honig, to teach skills in reverse engineering, malicious behaviour, malware,and anti-analysis techniques.",,,,776
Courses,,EECS 588,https://www.eecs.umich.edu/courses/eecs588/,Computer & Network Security University of Michigan.,,,,782
Courses,,J. Alex Halderman,https://jhalderm.com/,Taught by  who has analyzed the security of Electronic Voting Machines in the US and over seas.,,,,783
Courses,,Readings,https://www.eecs.umich.edu/courses/eecs588/readings.html,,,,,785
Courses,,Lectures Notes,https://github.com/RPISEC/Malware/tree/master/Lectures,"★ 4,070 stars, last push 2022-08-26.",,,,786
Courses,,Labs,https://github.com/RPISEC/Malware/tree/master/Labs,"★ 4,070 stars, last push 2022-08-26.",,,,787
Courses,,Projects,https://github.com/RPISEC/Malware/tree/master/Projects,"★ 4,070 stars, last push 2022-08-26.",,,,788
Courses,,6.857,https://courses.csail.mit.edu/6.857/2015/,Computer and Network Security MIT.,,,,789
Courses,,Lecture Notes,https://courses.csail.mit.edu/6.857/2015/handouts,"Emphasis on applied cryptography and may include: basic notion of systems security, cryptographic hash functions, symmetric cryptography (one-time pad, stream ciphers, block ciphers), cryptanalysis, secret-sharing, authentication codes, public-key cryptography (encryption, digital signatures), public-key attacks, web browser security, biometrics, electronic cash, viruses, electronic voting, Assignments include a group final project. Topics may vary year to year..References.",,,,790
Courses,,6.858,https://css.csail.mit.edu/6.858/2014/,Computer Systems Security MIT.,,,,793
Courses,,James Mickens,https://research.microsoft.com/en-us/people/mickens/,Taught by  and Nickolai Zeldovich.,,,,795
Courses,,Video Lectures and Labs,https://css.csail.mit.edu/6.858/2014/schedule.html,,,,,796
Courses,,Quizzes,https://css.csail.mit.edu/6.858/2014/quiz.html,,,,,797
Courses,,Readings,https://css.csail.mit.edu/6.858/2014/reference.html,,,,,798
Courses,,Final Projects,https://css.csail.mit.edu/6.858/2014/projects.html,,,,,799
Courses,,18-636,https://courseware.stanford.edu/pg/courses/334553/18636-spring-2013,Browser Security Stanford.,,,,800
Courses,,CS 188,http://ai.berkeley.edu/home.html,Introduction to Artificial Intelligence UC Berkeley.,,,,806
Courses,,Lectures,http://ai.berkeley.edu/lecture_videos.html,,,,,808
Courses,,Projects,http://ai.berkeley.edu/project_overview.html,,,,,809
Courses,,Exams,http://ai.berkeley.edu/exams.html,,,,,810
Courses,,CS 4700,https://www.cs.cornell.edu/courses/CS4700/2014fa/,Foundations of Artificial Intelligence Cornell University.,,,,811
Courses,,CS 6700,https://www.cs.cornell.edu/courses/CS6700/2013sp/,Advanced Artificial Intelligence Cornell University.,,,,815
Courses,,Syllabus,https://www.cs.cornell.edu/courses/CS6700/2013sp/lectures/CS6700-Overview_v2.pptx,,,,,817
Courses,,6.868J,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-868j-the-society-of-mind-fall-2011/index.htm,The Society of Mind MIT.,,,,820
Courses,,Marvin Minsky,https://www.nytimes.com/2016/01/26/business/marvin-minsky-pioneer-in-artificial-intelligence-dies-at-88.html?_r=0,"This course is an introduction, by Prof. , to the theory that tries to explain how minds are made from collections of simpler processes. It treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. It incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning.",,,,821
Courses,,Lectures,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-868j-the-society-of-mind-fall-2011/video-lectures/,,,,,822
Courses,,Assignments,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-868j-the-society-of-mind-fall-2011/assignments/,,,,,823
Courses,,Readings,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-868j-the-society-of-mind-fall-2011/readings/,,,,,824
Courses,,CAP 5415,http://crcv.ucf.edu/courses/CAP5415/,Computer Vision University of Central Florida.,,,,828
Courses,,Lectures and Videos,http://crcv.ucf.edu/videos/Lecture_Videos/,,,,,830
Courses,,Assignments,http://crcv.ucf.edu/courses/CAP5415/Fall2014/index.php,,,,,831
Courses,,CIS 581,https://alliance.seas.upenn.edu/~cis581/wiki/index.php?title=CIS_581:_Computer_Vision_%26_Computational_Photography,Computer Vision and Computational Photography University of Pennsylvania.,,,,832
Courses,,Lectures,https://alliance.seas.upenn.edu/~cis581/wiki/index.php?title=Schedule,,,,,834
Courses,,Assignments,https://alliance.seas.upenn.edu/~cis581/wiki/index.php?title=Projects,,,,,835
Courses,,CMU 462,http://15462.courses.cs.cmu.edu/fall2015,Computer Graphics Carnegie Mellon University.,,,,836
Courses,,Lectures and Readings,http://15462.courses.cs.cmu.edu/fall2015/reading,,,,,838
Courses,,Assignments and Quizes,http://15462.courses.cs.cmu.edu/fall2015/exercises,,,,,839
